DFF 1.2,Pin Levels,,,,
,,,,,
,Pin/Group,Seq.,Parameter,Value,Comment
,P_VDDL,,Vps,1.2,
,P_VDDL,,Isc,0.2,
,P_VDDL,,Tdelay,0,
,P_HAN,,Vps,1.2,
,P_HAN,,Isc,0.2,
,P_HAN,,Tdelay,0,
,ALL_IO_PINS,,VDriveLo,0,
,ALL_IO_PINS,,VDriveHi,1.2,
,ALL_IO_PINS,,VCompareLo,0.5,
,ALL_IO_PINS,,VCompareHi,0.6,
,ALL_IO_PINS,,ISource,0,
,ALL_IO_PINS,,ISink,0,
,ALL_IO_PINS,,VThreshold,1,
,ALL_IO_PINS,,VCH,1.9,
,ALL_IO_PINS,,VCL,-0.1,
,ALL_IO_PINS,,Vph,5,
,ALL_IO_PINS,,Iph,0,
,ALL_IO_PINS,,Tpr,0.000016,
,ALL_IO_PINS,,Vfph,6,
,ALL_IO_PINS,,DriverMode,Largeswing-HiZ,
,ALL_ICUL1G_PINS,,Vod,0,
,ALL_ICUL1G_PINS,,Vt,0.2,
,ALL_ICUL1G_PINS,,VtOperation,Dynamic,
